O1;ASM;;;
1912;1152;;;
1697;837;;;
1119;975;;;
1162;318;;;
6630;3059;;;
3349;628;;;
1539;442;;;
923;395;;;
1821;971;;;
1241;620;;;
1414;1111;;;
1382;626;;;
1494;762;;;
1342;422;;;
1598;815;;;
768;458;;;
1650;577;;;
1863;675;;;
4802;1827;;;
3174;1387;;;
690;615;;;
912;500;;;
2248;705;;;
2972;908;;;
779;431;;;
2094;844;;;
1636;774;;;
707;331;;;
1741;560;;;
1982;1188;;;
915;620;;;
1108;648;;;
2310;760;;;
573;386;;;
2542;1392;;;
704;308;;;
1305;836;;;
1385;928;;;
797;475;;;
1403;626;;;
651;318;;;
1189;983;;;
1293;1143;;;
1190;697;;;
639;300;;;
1766;920;;;
657;423;;;
551;345;;;
1778;872;;;
2718;1140;;;
3637;1368;;;
1567;1042;;;
1413;776;;;
554;320;;;
1640;1157;;;
1737;1090;;;
774;578;;;
699;404;;;
1413;872;;;
1164;710;;;
2094;1385;;;
1695;715;;;
711;418;;;
1850;705;;;
2412;995;;;
845;438;;;
1200;596;;;
1587;908;;;
1346;699;;;
1372;667;;;
1317;723;;;
1062;772;;;
1111;557;;;
1731;967;;;
1461;924;;;
529;304;;;
1320;912;;;
928;675;;;
650;474;;;
357;298;;;
1899;1291;;;
861;575;;;
1902;1360;;;
1581;655;;;
1622;975;;;
1257;1048;;;
814;862;;;
2544;2145;;;
1188;817;;;
1170;519;;;
1083;865;;;
1332;570;;;
2444;1611;;;
1533;1240;;;
900;713;;;
1608;1080;;;
882;1255;;;
1632;1101;;;
1810;1422;;;
2151;1557;;;
1171;920;;;
756;736;;;
943;608;;;
1904;1427;;;
768;458;;;
1431;827;;;
348;340;;;
407;507;;;
997;489;;;
1202;916;;;
1748;975;;;
1115;600;;;
1062;1012;;;
622;375;;;
732;645;;;
813;959;;;
699;392;;;
529;515;;;
371;328;;;
1370;1727;;;
436;468;;;
1316;900;;;
912;715;;;
910;908;;;
1569;1210;;;
920;712;;;
3002;2175;;;
393;468;;;
1964;1153;;;
1182;1005;;;
1521;1595;;;
711;698;;;
450;864;;;
1480;977;;;
1828;1559;;;
521;488;;;
401;373;;;
945;967;;;
1036;519;;;
367;418;;;
1890;1852;;;
738;695;;;
428;650;;;
2007;1642;;;
2288;1512;;;
1625;1231;;;
878;807;;;
729;882;;;
1778;1322;;;
511;758;;;
1206;950;;;
1250;1046;;;
1257;521;;;
965;975;;;
971;967;;;
2385;2483;;;
870;521;;;
2286;1490;;;
1064;1229;;;
685;478;;;
1239;1350;;;
677;924;;;
823;831;;;
2602;1989;;;
478;505;;;
971;768;;;
1137;1385;;;
912;926;;;
1786;1212;;;
951;1190;;;
513;565;;;
1465;1106;;;
746;1056;;;
1857;1690;;;
343;367;;;
608;490;;;
1879;2700;;;
841;825;;;
1407;1155;;;
836;855;;;
1330;1350;;;
2809;2082;;;
771;602;;;
1419;1014;;;
377;525;;;
1697;918;;;
1117;1002;;;
1316;1113;;;
2118;1737;;;
440;660;;;
343;754;;;
1614;2045;;;
1694;2100;;;
1384;1305;;;
496;608;;;
567;687;;;
1206;1524;;;
367;652;;;
276;541;;;
1502;1755;;;
1243;1656;;;
596;805;;;
679;1232;;;
886;1299;;;
521;663;;;
1375;2290;;;
582;619;;;
1230;1220;;;
942;1208;;;
700;770;;;
590;679;;;
712;835;;;
699;644;;;
854;594;;;
1023;1027;;;
492;938;;;
1106;1607;;;
588;1245;;;
498;669;;;
772;825;;;
1600;1587;;;
1508;1365;;;
620;560;;;
2368;2690;;;
663;846;;;
505;932;;;
542;717;;;
1380;948;;;
440;385;;;
916;1251;;;
1297;1625;;;
608;543;;;
823;965;;;
709;1286;;;
2108;2737;;;
290;493;;;
1375;1697;;;
955;1358;;;
1198;1007;;;
1316;1680;;;
1011;1232;;;
748;1181;;;
1251;1443;;;
632;760;;;
594;1405;;;
894;1176;;;
892;1228;;;
922;1820;;;
359;789;;;
1425;2645;;;
875;1164;;;
697;808;;;
2342;2556;;;
1356;1444;;;
440;709;;;
1178;1476;;;
1330;2486;;;
952;843;;;
1125;1338;;;
1484;1443;;;
1614;2120;;;
764;786;;;
1074;1579;;;
1601;2102;;;
616;795;;;
2232;1942;;;
900;910;;;
774;920;;;
381;750;;;
468;655;;;
831;870;;;
1822;1790;;;
1009;1415;;;
1408;1296;;;
306;608;;;
612;789;;;
1441;1812;;;
1090;1273;;;
969;1348;;;
1287;1757;;;
841;1153;;;
1382;1782;;;
776;991;;;
399;835;;;
1259;1547;;;
1555;1417;;;
433;726;;;
334;533;;;
1235;1060;;;
1015;1510;;;
529;847;;;
981;964;;;
622;766;;;
2074;2298;;;
819;1050;;;
300;541;;;
775;817;;;
991;1314;;;
1226;1152;;;
602;711;;;
825;1267;;;
1109;1565;;;
440;766;;;
549;860;;;
952;1166;;;
1016;1386;;;
547;663;;;
932;1301;;;
1210;778;;;
621;1010;;;
279;360;;;
284;425;;;
487;593;;;
1334;1246;;;
323;610;;;
525;849;;;
865;1102;;;
739;845;;;
661;841;;;
1731;1898;;;
866;1186;;;
328;460;;;
3030;2522;;;
2295;2400;;;
1221;1327;;;
1240;1145;;;
1226;1070;;;
1301;1867;;;
1046;1050;;;
264;406;;;
1169;1395;;;
323;665;;;
616;940;;;
575;667;;;
341;556;;;
1101;2056;;;
602;967;;;
1009;939;;;
388;529;;;
614;983;;;
481;902;;;
397;545;;;
270;525;;;
847;1396;;;
734;765;;;
537;1287;;;
1332;1654;;;
766;567;;;
308;627;;;
592;760;;;
679;819;;;
847;995;;;
637;1417;;;
890;1658;;;
306;580;;;
867;2218;;;
286;573;;;
1380;1535;;;
456;485;;;
647;1011;;;
286;541;;;
1263;833;;;
708;786;;;
750;1182;;;
1056;1226;;;
375;312;;;
928;1303;;;
1412;1488;;;
373;847;;;
1009;1362;;;
679;945;;;
1000;1081;;;
908;1350;;;
1063;1397;;;
235;655;;;
1198;1360;;;
292;565;;;
426;961;;;
261;545;;;
805;868;;;
733;618;;;
504;781;;;
1271;1671;;;
620;583;;;
475;533;;;
724;1101;;;
1401;1436;;;
631;948;;;
1099;1411;;;
785;952;;;
951;1206;;;
973;896;;;
1463;1070;;;
470;675;;;
679;654;;;
1348;1287;;;
883;888;;;
1358;1260;;;
382;564;;;
1113;1157;;;
1017;983;;;
649;780;;;
300;561;;;
